time,h_asl,pitch,vc,roll
0,0,0,0,0
9.5691e-07,0,0,0,0
5.7415e-06,0,0,0,0
2.9664e-05,0,0,0,0
0.00014928,0,0,0,0
0.00074735,0,0,0,0
0.0037377,0,0,0,0
0.0083333,12,-1.4125e-30,0,1.2722e-14
0.016667,12,1.7749e-15,0.0069542,1.2722e-14
0.022089,12,1.7749e-15,0.0069542,1.2722e-14
0.022089,12,1.7749e-15,0.0069542,1.2722e-14
0.025,11.9998,0.0012723,0.0097386,4.9849e-14
0.033333,11.9997,0.0036662,0.012003,5.5294e-12
0.040009,11.9997,0.0036662,0.012003,5.5294e-12
0.040009,11.9997,0.0036662,0.012003,5.5294e-12
0.041667,11.9995,0.007043,0.013427,-1.3866e-10
0.046936,11.9995,0.007043,0.013427,-1.3866e-10
0.046936,11.9995,0.007043,0.013427,-1.3866e-10
0.05,11.9993,0.011273,0.014387,3.6364e-10
0.058333,11.9991,0.016237,0.015041,-3.8009e-10
0.066666,11.9989,0.021823,0.015513,4.7442e-10
0.075,11.9987,0.02793,0.015887,-5.9421e-10
0.083333,11.9984,0.034462,0.016217,4.7838e-10
0.091666,11.9982,0.041332,0.016538,-7.7509e-10
0.1,11.998,0.048463,0.016873,4.5054e-10
0.10833,11.9977,0.055781,0.017231,-9.0733e-10
0.11667,11.9975,0.063222,0.017618,4.1992e-10
0.125,11.9972,0.070727,0.018034,-1.0014e-09
0.13333,11.997,0.078242,0.018477,3.9047e-10
0.14167,11.9967,0.08572,0.018942,-1.0675e-09
0.15,11.9965,0.093121,0.019424,3.6245e-10
0.15833,11.9962,0.10041,0.019917,-1.1125e-09
0.16667,11.9959,0.10755,0.020415,3.3544e-10
0.175,11.9956,0.11451,0.020912,-1.1414e-09
0.18333,11.9953,0.12128,0.021403,3.0885e-10
0.19167,11.995,0.12784,0.021883,-1.1576e-09
0.2,11.9947,0.13415,0.022347,2.8227e-10
0.20833,11.9944,0.14023,0.022791,-1.1638e-09
0.21667,11.9941,0.14605,0.023212,2.554e-10
0.225,11.9937,0.15161,0.023607,-1.1428e-09
0.23333,11.9934,0.1569,0.023974,2.6949e-10
0.24167,11.9931,0.16192,0.024311,-1.1013e-09
0.25,11.9927,0.16667,0.024616,2.6752e-10
0.25833,11.9924,0.17115,0.024889,-1.0662e-09
0.26667,11.992,0.17537,0.025128,2.5862e-10
0.275,11.9917,0.17932,0.025334,-1.0336e-09
0.28333,11.9913,0.18302,0.025507,2.4508e-10
0.29167,11.991,0.18647,0.025646,-1.0027e-09
0.3,11.9906,0.18968,0.025753,2.2816e-10
0.30833,11.9903,0.19265,0.025828,-9.731e-10
0.31667,11.9899,0.1954,0.025872,2.0886e-10
0.325,11.9896,0.19793,0.025886,-9.4481e-10
0.33333,11.9892,0.20025,0.025872,1.8798e-10
0.34167,11.9888,0.20238,0.025831,-9.1771e-10
0.35,11.9885,0.20432,0.025764,1.6619e-10
0.35833,11.9881,0.20608,0.025673,-8.9181e-10
0.36667,11.9878,0.20767,0.02556,1.3437e-10
0.375,11.9874,0.20911,0.025425,-8.6714e-10
0.37635,11.9874,0.20911,0.025425,-8.6714e-10
0.37635,11.9874,0.20911,0.025425,-8.6714e-10
0.38333,11.9871,0.2104,0.025271,1.1548e-10
0.38633,11.9871,0.2104,0.025271,1.1548e-10
0.38633,11.9871,0.2104,0.025271,1.1548e-10
0.39167,11.9867,0.21155,0.025099,-8.2409e-10
0.39599,11.9867,0.21155,0.025099,-8.2409e-10
0.39599,11.9867,0.21155,0.025099,-8.2409e-10
0.4,11.9864,0.21257,0.024911,1.373e-10
0.40543,11.9864,0.21257,0.024911,1.373e-10
0.40543,11.9864,0.21257,0.024911,1.373e-10
0.40833,11.9861,0.21347,0.024708,-7.6083e-10
0.41471,11.9861,0.21347,0.024708,-7.6083e-10
0.41471,11.9861,0.21347,0.024708,-7.6083e-10
0.41667,11.9857,0.21426,0.024493,1.3619e-10
0.42384,11.9857,0.21426,0.024493,1.3619e-10
0.42384,11.9857,0.21426,0.024493,1.3619e-10
0.425,11.9854,0.21495,0.024266,-7.2383e-10
0.43079,11.9854,0.21495,0.024266,-7.2383e-10
0.43285,11.9854,0.21495,0.024266,-7.2383e-10
0.43285,11.9854,0.21495,0.024266,-7.2383e-10
0.43333,11.9851,0.21555,0.024029,1.4268e-10
0.43573,11.9851,0.21555,0.024029,1.4268e-10
0.44166,11.9847,0.21606,0.023635,9.9064e-11
0.45,11.9844,0.2165,0.023121,5.8358e-10
0.45833,11.9841,0.21689,0.022691,6.7475e-10
0.46666,11.9838,0.21723,0.022216,9.3815e-10
0.475,11.9835,0.21752,0.021724,1.0328e-09
0.48333,11.9832,0.21778,0.021187,1.1787e-09
0.49166,11.9829,0.21802,0.02071,1.2489e-09
0.5,11.9826,0.21823,0.020227,1.3706e-09
0.50833,11.9824,0.21843,0.019789,1.4017e-09
0.51666,11.9821,0.21861,0.019357,1.4332e-09
0.525,11.9818,0.21879,0.018958,1.4557e-09
0.53333,11.9816,0.21895,0.018568,1.4708e-09
0.54166,11.9813,0.21911,0.018202,1.4779e-09
0.55,11.981,0.21927,0.017845,1.4788e-09
0.55833,11.9808,0.21941,0.017506,1.4347e-09
0.56666,11.9806,0.21955,0.017175,1.3819e-09
0.575,11.9803,0.21969,0.016858,1.3444e-09
0.58333,11.9801,0.21982,0.016547,1.3013e-09
0.59166,11.9799,0.21996,0.016247,1.2635e-09
0.6,11.9796,0.22008,0.015954,1.2237e-09
0.60833,11.9794,0.22021,0.015669,1.2186e-09
0.61666,11.9792,0.22033,0.015389,1.1695e-09
0.625,11.979,0.22045,0.015116,1.1705e-09
0.63333,11.9788,0.22056,0.014849,1.1469e-09
0.64166,11.9786,0.22067,0.014588,1.1439e-09
