time,h_asl,h_dot,vc,pitch,pitch_rate,roll,roll_rate,heading,heading_rate,alpha_deg
0,0,0,0,0,0,0,0,0,0,0
9.5691e-07,0,0,0,0,0,0,0,0,0,0
5.7415e-06,0,0,0,0,0,0,0,0,0,0
2.9664e-05,0,0,0,0,0,0,0,0,0,0
0.00014928,0,0,0,0,0,0,0,0,0,0
0.00074735,0,0,0,0,0,0,0,0,0,0
0.0037377,0,0,0,0,0,0,0,0,0,0
0.0083333,12,0,0,-1.4125e-30,0,1.2722e-14,0,90,0,0
0.016667,12,-0.011739,0.0069542,1.7749e-15,0.15268,1.2722e-14,2.5515e-16,90,7.1201e-18,90.0243
0.022089,12,-0.011739,0.0069542,1.7749e-15,0.15268,1.2722e-14,2.5515e-16,90,7.1201e-18,90.0243
0.022089,12,-0.011739,0.0069542,1.7749e-15,0.15268,1.2722e-14,2.5515e-16,90,7.1201e-18,90.0243
0.025,11.9998,-0.016439,0.0097386,0.0012723,0.28726,4.9849e-14,6.6133e-10,90,1.2888e-15,90.5267
0.033333,11.9997,-0.02026,0.012003,0.0036662,0.40521,5.5294e-12,-1.7302e-08,90,-4.0927e-09,90.8919
0.040009,11.9997,-0.02026,0.012003,0.0036662,0.40521,5.5294e-12,-1.7302e-08,90,-4.0927e-09,90.8919
0.040009,11.9997,-0.02026,0.012003,0.0036662,0.40521,5.5294e-12,-1.7302e-08,90,-4.0927e-09,90.8919
0.041667,11.9995,-0.022661,0.013427,0.007043,0.50764,-1.3866e-10,6.0273e-08,90,2.4792e-08,91.2858
0.046936,11.9995,-0.022661,0.013427,0.007043,0.50764,-1.3866e-10,6.0273e-08,90,2.4792e-08,91.2858
0.046936,11.9995,-0.022661,0.013427,0.007043,0.50764,-1.3866e-10,6.0273e-08,90,2.4792e-08,91.2858
0.05,11.9993,-0.024277,0.014387,0.011273,0.59566,3.6364e-10,-8.9248e-08,90,-2.769e-08,91.6941
0.058333,11.9991,-0.025374,0.015041,0.016237,0.67036,-3.8009e-10,1.0254e-07,90,3.006e-08,92.1177
0.066666,11.9989,-0.026163,0.015513,0.021823,0.73276,4.7442e-10,-1.2823e-07,90,-3.1975e-08,92.5496
0.075,11.9987,-0.026783,0.015887,0.02793,0.78383,-5.9421e-10,1.2871e-07,90,3.3561e-08,92.9824
0.083333,11.9984,-0.027329,0.016217,0.034462,0.8245,4.7838e-10,-1.5041e-07,90,-3.4855e-08,93.4084
0.091666,11.9982,-0.027858,0.016538,0.041332,0.85568,-7.7509e-10,1.4707e-07,90,3.5911e-08,93.8207
0.1,11.998,-0.028407,0.016873,0.048463,0.87821,4.5054e-10,-1.6294e-07,90,-3.6773e-08,94.2141
0.10833,11.9977,-0.028997,0.017231,0.055781,0.8929,-9.0733e-10,1.5927e-07,90,3.7456e-08,94.5848
0.11667,11.9975,-0.029634,0.017618,0.063222,0.90053,4.1992e-10,-1.7056e-07,90,-3.7995e-08,94.9312
0.125,11.9972,-0.030319,0.018034,0.070727,0.90182,-1.0014e-09,1.6702e-07,90,3.8395e-08,95.2529
0.13333,11.997,-0.031049,0.018477,0.078242,0.89746,3.9047e-10,-1.7496e-07,90,-3.8673e-08,95.551
0.14167,11.9967,-0.031816,0.018942,0.08572,0.88811,-1.0675e-09,1.7159e-07,90,3.8857e-08,95.8274
0.15,11.9965,-0.032611,0.019424,0.093121,0.87436,3.6245e-10,-1.77e-07,90,-3.8931e-08,96.0848
0.15833,11.9962,-0.033424,0.019917,0.10041,0.85679,-1.1125e-09,1.7376e-07,90,3.8925e-08,96.326
0.16667,11.9959,-0.034245,0.020415,0.10755,0.83593,3.3544e-10,-1.7721e-07,90,-3.8847e-08,96.554
0.175,11.9956,-0.035064,0.020912,0.11451,0.81228,-1.1414e-09,1.7402e-07,90,3.8677e-08,96.7717
0.18333,11.9953,-0.035872,0.021403,0.12128,0.78628,3.0885e-10,-1.7597e-07,90,-3.8457e-08,96.9819
0.19167,11.995,-0.036661,0.021883,0.12784,0.75837,-1.1576e-09,1.7278e-07,90,3.8165e-08,97.187
0.2,11.9947,-0.037422,0.022347,0.13415,0.72893,2.8227e-10,-1.7353e-07,90,-3.7823e-08,97.3894
