time,h_asl,h_dot,vc,pitch,pitch_rate,roll,roll_rate,heading,heading_rate,alpha_deg,a_pilot_x_ft_sec2,a_pilot_y_ft_sec2,a_pilot_z_ft_sec2,pitch_accel_rad_sec2,roll_accel_rad_sec2,yaw_accel_rad_sec2,lat_deg,long_deg,flaps_pos_norm,engine_percent,pilot_elevator_cmd,throttle_0_cmd,temp_rankine,pressure_psf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5691e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7415e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9664e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00014928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00074735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0037377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0083333,12,0,0,-1.4125e-30,0,1.2722e-14,0,90,0,0,-0.9104,-4.2067e-15,-36.9461,0.31978,5.3439e-16,-5.6092e-17,0,0,0,0,0,0,518.6272,2115.3105
0.016667,12,-0.011739,0.0069542,1.7749e-15,0.15268,1.2722e-14,2.5515e-16,90,7.1201e-18,90.0243,-2.903,-5.4683e-15,-50.6695,0.28186,1.3851e-09,2.232e-15,0,-4.2947e-18,0.00020833,30,0,0,518.6272,2115.3105
0.022089,12,-0.011739,0.0069542,1.7749e-15,0.15268,1.2722e-14,2.5515e-16,90,7.1201e-18,90.0243,-2.903,-5.4683e-15,-50.6695,0.28186,1.3851e-09,2.232e-15,0,-4.2947e-18,0.00020833,30,0,0,518.6272,2115.3105
0.022089,12,-0.011739,0.0069542,1.7749e-15,0.15268,1.2722e-14,2.5515e-16,90,7.1201e-18,90.0243,-2.903,-5.4683e-15,-50.6695,0.28186,1.3851e-09,2.232e-15,0,-4.2947e-18,0.00020833,30,0,0,518.6272,2115.3105
0.025,11.9998,-0.016439,0.0097386,0.0012723,0.28726,4.9849e-14,6.6133e-10,90,1.2888e-15,90.5267,-2.5713,1.2574e-08,-48.8625,0.24704,-3.7621e-08,-8.5718e-09,1.8454e-30,-2.1768e-13,0.00041667,30,0,0,518.6272,2115.3105
0.033333,11.9997,-0.02026,0.012003,0.0036662,0.40521,5.5294e-12,-1.7302e-08,90,-4.0927e-09,90.8919,-2.2613,-4.4238e-07,-46.9434,0.21451,1.6247e-07,6.0498e-08,-2.1774e-22,-6.6591e-12,0.000625,30,0,0,518.6272,2115.3105
0.040009,11.9997,-0.02026,0.012003,0.0036662,0.40521,5.5294e-12,-1.7302e-08,90,-4.0927e-09,90.8919,-2.2613,-4.4238e-07,-46.9434,0.21451,1.6247e-07,6.0498e-08,-2.1774e-22,-6.6591e-12,0.000625,30,0,0,518.6272,2115.3105
0.040009,11.9997,-0.02026,0.012003,0.0036662,0.40521,5.5294e-12,-1.7302e-08,90,-4.0927e-09,90.8919,-2.2613,-4.4238e-07,-46.9434,0.21451,1.6247e-07,6.0498e-08,-2.1774e-22,-6.6591e-12,0.000625,30,0,0,518.6272,2115.3105
0.041667,11.9995,-0.022661,0.013427,0.007043,0.50764,-1.3866e-10,6.0273e-08,90,2.4792e-08,91.2858,-1.9705,3.2774e-06,-45.109,0.18437,-3.1314e-07,-1.0993e-07,-2.3781e-16,-1.5856e-11,0.00083333,30,0,0,518.6272,2115.3105
0.046936,11.9995,-0.022661,0.013427,0.007043,0.50764,-1.3866e-10,6.0273e-08,90,2.4792e-08,91.2858,-1.9705,3.2774e-06,-45.109,0.18437,-3.1314e-07,-1.0993e-07,-2.3781e-16,-1.5856e-11,0.00083333,30,0,0,518.6272,2115.3105
0.046936,11.9995,-0.022661,0.013427,0.007043,0.50764,-1.3866e-10,6.0273e-08,90,2.4792e-08,91.2858,-1.9705,3.2774e-06,-45.109,0.18437,-3.1314e-07,-1.0993e-07,-2.3781e-16,-1.5856e-11,0.00083333,30,0,0,518.6272,2115.3105
0.05,11.9993,-0.024277,0.014387,0.011273,0.59566,3.6364e-10,-8.9248e-08,90,-2.769e-08,91.6941,-1.6995,-6.2488e-06,-43.3535,0.15645,4.0165e-07,1.2097e-07,8.5121e-16,-2.9855e-11,0.0010417,30,0,0,518.6272,2115.3105
0.058333,11.9991,-0.025374,0.015041,0.016237,0.67036,-3.8009e-10,1.0254e-07,90,3.006e-08,92.1177,-1.4473,6.686e-06,-41.6929,0.13068,-4.8329e-07,-1.2995e-07,-1.1748e-15,-4.8645e-11,0.00125,30,0,0,518.6272,2115.3105
0.066666,11.9989,-0.026163,0.015513,0.021823,0.73276,4.7442e-10,-1.2823e-07,90,-3.1975e-08,92.5496,-1.2133,-7.2072e-06,-40.1344,0.10696,5.3808e-07,1.3729e-07,1.7243e-15,-7.2473e-11,0.0014583,30,0,0,518.6272,2115.3105
0.075,11.9987,-0.026783,0.015887,0.02793,0.78383,-5.9421e-10,1.2871e-07,90,3.3561e-08,92.9824,-0.99698,7.5032e-06,-38.6822,0.085191,-5.8452e-07,-1.4332e-07,-1.7493e-15,-1.0144e-10,0.0016667,30,0,0,518.6272,2115.3106
0.083333,11.9984,-0.027329,0.016217,0.034462,0.8245,4.7838e-10,-1.5041e-07,90,-3.4855e-08,93.4084,-0.79761,-7.8128e-06,-37.3377,0.065296,6.2296e-07,1.4825e-07,2.2687e-15,-1.3561e-10,0.001875,30,0,0,518.6272,2115.3106
0.091666,11.9982,-0.027858,0.016538,0.041332,0.85568,-7.7509e-10,1.4707e-07,90,3.5911e-08,93.8207,-0.61454,8.091e-06,-36.1006,0.047186,-6.4918e-07,-1.5227e-07,-2.0777e-15,-1.7499e-10,0.0020833,30,0,0,518.6272,2115.3106
0.1,11.998,-0.028407,0.016873,0.048463,0.87821,4.5054e-10,-1.6294e-07,90,-3.6773e-08,94.2141,-0.44711,-8.2454e-06,-34.969,0.030775,6.747e-07,1.5551e-07,2.6159e-15,-2.196e-10,0.0022917,30,0,0,518.6272,2115.3106
0.10833,11.9977,-0.028997,0.017231,0.055781,0.8929,-9.0733e-10,1.5927e-07,90,3.7456e-08,94.5848,-0.29462,8.4568e-06,-33.94,0.015976,-6.9063e-07,-1.5807e-07,-2.273e-15,-2.6941e-10,0.0025,30,0,0,518.6272,2115.3106
0.11667,11.9975,-0.029634,0.017618,0.063222,0.90053,4.1992e-10,-1.7056e-07,90,-3.7995e-08,94.9312,-0.1564,-8.5387e-06,-33.01,0.002705,7.0685e-07,1.6004e-07,2.8432e-15,-3.2441e-10,0.0027083,30,0,0,518.6272,2115.3107
0.125,11.9972,-0.030319,0.018034,0.070727,0.90182,-1.0014e-09,1.6702e-07,90,3.8395e-08,95.2529,-0.031747,8.6789e-06,-32.1749,-0.0091241,-7.1603e-07,-1.6146e-07,-2.3899e-15,-3.8458e-10,0.0029167,30,0,0,518.6272,2115.3107
0.13333,11.997,-0.031049,0.018477,0.078242,0.89746,3.9047e-10,-1.7496e-07,90,-3.8673e-08,95.551,0.080045,-8.7109e-06,-31.43,-0.019595,7.2558e-07,1.6242e-07,2.9907e-15,-4.4989e-10,0.003125,30,0,0,518.6272,2115.3107
0.14167,11.9967,-0.031816,0.018942,0.08572,0.88811,-1.0675e-09,1.7159e-07,90,3.8857e-08,95.8274,0.17968,8.7903e-06,-30.7707,-0.028792,-7.2984e-07,-1.6296e-07,-2.4557e-15,-5.2032e-10,0.0033333,30,0,0,518.6272,2115.3107
0.15,11.9965,-0.032611,0.019424,0.093121,0.87436,3.6245e-10,-1.77e-07,90,-3.8931e-08,96.0848,0.26784,-8.7853e-06,-30.192,-0.036795,7.3434e-07,1.6311e-07,3.0817e-15,-5.9587e-10,0.0035417,30,0,0,518.6272,2115.3107
0.15833,11.9962,-0.033424,0.019917,0.10041,0.85679,-1.1125e-09,1.7376e-07,90,3.8925e-08,96.326,0.34523,8.8138e-06,-29.689,-0.043686,-7.3477e-07,-1.6293e-07,-2.4847e-15,-6.7651e-10,0.00375,30,0,0,518.6272,2115.3108
0.16667,11.9959,-0.034245,0.020415,0.10755,0.83593,3.3544e-10,-1.7721e-07,90,-3.8847e-08,96.554,0.41253,-8.7781e-06,-29.2568,-0.049543,7.3532e-07,1.6241e-07,3.1301e-15,-7.6225e-10,0.0039583,30,0,0,518.6272,2115.3108
0.175,11.9956,-0.035064,0.020912,0.11451,0.81228,-1.1414e-09,1.7402e-07,90,3.8677e-08,96.7717,0.47042,8.7659e-06,-28.8904,-0.054443,-7.3269e-07,-1.6159e-07,-2.4854e-15,-8.5309e-10,0.0041667,30,0,0,518.6272,2115.3108
0.18333,11.9953,-0.035872,0.021403,0.12128,0.78628,3.0885e-10,-1.7597e-07,90,-3.8457e-08,96.9819,0.51955,-8.7014e-06,-28.585,-0.058459,7.3006e-07,1.6052e-07,3.1454e-15,-9.4901e-10,0.004375,30,0,0,518.6272,2115.3108
0.19167,11.995,-0.036661,0.021883,0.12784,0.75837,-1.1576e-09,1.7278e-07,90,3.8165e-08,97.187,0.56056,8.6553e-06,-28.3358,-0.061663,-7.2495e-07,-1.5919e-07,-2.4634e-15,-1.05e-09,0.0045833,30,0,0,518.6272,2115.3108
0.2,11.9947,-0.037422,0.022347,0.13415,0.72893,2.8227e-10,-1.7353e-07,90,-3.7823e-08,97.3894,0.59408,-8.5675e-06,-28.1384,-0.064124,7.1976e-07,1.5765e-07,3.1342e-15,-1.1562e-09,0.0047916,30,0,0,518.6272,2115.3109
0.20833,11.9944,-0.038149,0.022791,0.14023,0.69831,-1.1638e-09,1.7031e-07,90,3.7434e-08,97.5911,0.62071,8.4938e-06,-27.9883,-0.065908,-7.077e-07,-1.5593e-07,-2.423e-15,-1.2674e-09,0.005,30,0,0,518.6272,2115.3109
